6181	13000	2
6181	13001	3
6181	13002	4
6181	13003	5
6181	13004	6
6181	13005	7
6181	13006	7
6181	13007	7
6181	13008	7
6181	13009	7
6181	13010	7
7016	13011	2
7016	13012	4
7016	13013	5
7016	13014	7
7016	13015	7
7016	13016	7
7016	13017	7
7016	13018	7
7016	13019	7
7018	13020	2
7018	13021	3
7018	13022	4
7018	13023	5
7018	7465	6
7018	13024	7
7018	13025	7
7018	13026	7
7018	13027	7
7021	13028	2
7021	13012	4
7021	13029	5
7021	13030	7
7021	13031	7
7021	13032	7
7024	13033	4
7024	13034	4
7024	13035	4
7024	13036	2
7024	13037	5
7024	13038	7
7024	13039	7
7024	13040	7
7024	13041	7
7024	13042	7
7024	13043	7
7030	13044	2
7030	13045	3
7030	13012	4
7030	13046	5
7030	13047	7
7030	13048	7
7030	13049	7
7030	13031	7
7030	13050	7
7034	13051	2
7034	13052	4
7034	13053	4
7034	13054	5
7034	13055	7
7034	13056	7
7034	13057	7
7034	13058	7
7034	13059	7
13060	7228	6
7040	13072	2
7040	13073	4
7040	13074	6
7040	13075	7
7040	13076	7
7040	13077	7
7040	13078	7
7040	13079	7
7040	13080	7
7040	13070	7
7041	13044	2
7041	13045	3
7041	13012	4
7041	13046	5
7041	9887	6
7041	13047	7
7041	13049	7
7041	13031	7
7041	13081	7
7041	13050	7
7041	13082	7
7043	13083	2
7043	13084	8
7043	13085	7
7043	13086	7
7043	13087	7
7044	13088	2
7044	13089	3
7044	13012	4
7044	13090	5
7044	13091	7
7044	13031	7
7044	13092	7
7044	13093	7
7044	13094	7
7044	13095	7
7046	13051	2
7046	13096	4
7046	13097	4
7046	13098	4
7046	13099	5
7046	13100	7
7048	13101	2
7048	13102	4
7048	13022	4
7048	13103	5
7048	13104	7
7048	13105	7
7048	13106	7
7048	13107	7
7048	13108	7
7057	13109	8
7057	13110	8
7057	13048	7
7057	13111	7
7059	13112	2
7059	13052	4
7059	13113	5
7059	13114	7
7059	13115	7
7062	13116	2
7062	13117	9
7062	13118	5
7062	13067	7
7062	13119	7
7062	13120	7
7062	13121	7
7065	13122	4
7065	13123	5
7065	13124	10
7065	13125	11
7065	13126	12
7065	13127	7
7065	13128	7
7065	13129	7
7065	13130	7
7065	13131	7
7065	13132	7
7065	13133	7
7065	13134	7
7065	13135	7
7065	13136	7
7065	13137	7
7065	13138	7
7068	13139	2
7068	13140	4
7068	13141	5
7068	13142	5
7068	13143	7
7068	13144	7
7068	13145	7
7068	13146	7
7068	13147	7
7068	13148	7
7072	13149	2
7072	13150	3
7072	13063	4
7072	13151	5
7072	13152	7
7072	13153	7
7072	13154	7
7072	13155	7
7077	13169	2
7077	13096	4
7077	13065	5
7077	9777	6
7077	13170	7
7077	13171	7
7077	13172	7
7082	13173	2
7082	13065	5
7082	13174	7
7082	13175	7
7082	13176	7
7082	13177	7
7082	13178	7
7082	13121	7
7082	13179	7
7082	13180	7
7082	13181	7
7082	13182	7
7082	13183	7
6278	13184	2
